Site,Plot,Transect,Section_short,Coral_num,Sps,Max_width,Coral_ID,coords_x,coords_y,New_death_051018,Old_death_051018,Health_state_051018,Notes_051018,Found_051018,SCTLD_051018,Treated_051018,New_death_060118,Health_state_060118,Notes_060118,Found_060118,SCTLD_060118,Treated_060118,New_death_062118,Health_state_062118,Notes_062118,Found_062118,SCTLD_062118,Treated_062118,New_death_071618,Health_state_071618,Notes_071618,Found_071618,SCTLD_071618,Treated_071618,New_death__081718,Old_death_081718,Health_state_081718,Notes_081718,Found_081718,SCTLD_081718,Treated_081718,New_death_103018,Health_state_103018,Notes_103018,Found_103018,SCTLD_103018,Treated_103018,New_death_110918,Health_state_110918,Notes_110918,Found_110918,SCTLD_110918,Treated_110918,New_death_112918,Health_state_112918,Notes_112918,Found_112918,SCTLD_112918,Treated_112918,New_death_121318,Health_state_121318,Notes_121318,Found_121318,SCTLD_121318,Treated_121318,New_death_010419,Health_state_010419,Notes_010419,Found_010419,SCTLD_010419,Treated_010419,New_death_011819,Health_state_011819,Notes_011819,Found_011819,SCTLD_011819,Treated_011819,New_death_020819,Health_state_020819,Notes_020819,Found_020819,SCTLD_020819,Treated_020819,New_death_030419,Health_state_030419,Notes_030419,Found_030419,SCTLD_030419,Treated_030419,New_death_032119,Health_state_032119,Notes_032119,Found_032119,SCTLD_032119,Treated_032119,New_death_041119,Health_state_041119,Notes_041119,Found_041119,SCTLD_041119,Treated_041119,New_death_050219,Health_state_050219,Notes_050219,Found_050219,SCTLD_050219,Treated_050219,New_death_051619,Health_state_051619,Notes_051619,Found_051619,SCTLD_051619,Treated_051619,New_death_052819,Health_state_052819,Notes_052819,Found_052819,SCTLD_052819,Treated_052819,New_death_061319,Health_state_061319,Notes_061319,Found_061319,SCTLD_061319,Treated_061319
1,23,1,5-10,5,PSTR,23,1_p23_t1_s5_c5_PSTR,0.522255,6.444585397,0,0,0,Abraided? sea fan rub,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,5-10,6,SSID,17,1_p23_t1_s5_c6_SSID,0.848665,7.468103648,0,0,0,Pale? DS?,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,5-10,7,SSID,25,1_p23_t1_s5_c7_SSID,0.31454,6.871322516,0,0,0,Flipped over,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,80,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,5-10,8,DSTO,11,1_p23_t1_s5_c8_DSTO,0.596439,7.857500579,0,0,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,40,1,SCTLD,1,SCTLD,NA,65,1,SCTLD,1,SCTLD,NA,80,1,SCTLD,1,SCTLD,NA,98,1,SCTLD,1,SCTLD,NA,100,1,SCTLD,1,SCTLD,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA
1,23,1,5-10,9,SSID,10,1_p23_t1_s5_c9_SSID,0.0919881,7.892800018,0,0,0,Flipped,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,80,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,1,5-10,10,SINT,10,1_p23_t1_s5_c10_SINT,-0.0118694,8.282748503,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,1,5-10,11,SINT,13,1_p23_t1_s5_c11_SINT,-0.0118694,8.50579683,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,1,5-10,12,SINT,13,1_p23_t1_s5_c12_SINT,-0.041543,8.710147485,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,1,5-10,13,SSID,10,1_p23_t1_s5_c13_SSID,0.789318,9.419555889,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,1,PAST,10,1_p23_t2_s0_c1_PAST,1.50148368,0.240047213,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,2,SSID,28,1_p23_t2_s0_c2_SSID,0.997033,0.55415706,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,3,SINT,10,1_p23_t2_s0_c3_SINT,1.442136499,0.853209491,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,4,SSID,12,1_p23_t2_s0_c4_SSID,1.872403561,0.9477458,0,0,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,5,SINT,10,1_p23_t2_s0_c5_SINT,1.471810089,1.541052144,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,6,SSID,18,1_p23_t2_s0_c6_SSID,1.367952522,1.113156763,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,35,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,7,SSID,15,1_p23_t2_s0_c7_SSID,1.857566766,1.914233395,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,8,PAST,12,1_p23_t2_s0_c8_PAST,1.21958457,1.930449075,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,9,SSID,20,1_p23_t2_s0_c9_SSID,1.041543027,2.487408028,0,0,0,KO,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,70,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,10,MCAV,52,1_p23_t2_s0_c10_MCAV,1.887240356,2.787949654,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,60,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA,0,0, ,1,Healthy,NA
1,23,2,0-5,11,DSTO,33,1_p23_t2_s0_c11_DSTO,1.753709199,3.270724631,0,0,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,10,1,SCTLD,1,SCTLD,NA,40,1,SCTLD,1,SCTLD,NA,90,1,SCTLD,1,SCTLD,NA,100,0,Dead/SCTLD,1,Healthy,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA,Dead,1,Dead,1,Dead,NA
1,23,2,0-5,12,SINT,17,1_p23_t2_s0_c12_SINT,1.234421365,3.80782765,5,0,0,From algae,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,Disco?,1,Healthy,NA,0,0,,1,Healthy,NA,2,0,DS ?,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,2,0-5,13,PSTR,10,1_p23_t2_s0_c13_PSTR,1.456973294,4.08746539,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,2,0-5,14,SSID,38,1_p23_t2_s0_c14_SSID,1.827893175,4.869513419,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,50,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,2,0-5,15,PAST,20,1_p23_t2_s0_c15_PAST,1.575667656,4.812813696,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,10,0,Pale,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
1,23,2,5-10,1,SINT,13,1_p23_t2_s5_c1_SINT,1.397626113,5.36977265,0,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,5,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA,0,0,,1,Healthy,NA
